Country,Percentage
Roumanie,0.729363
Servie,0.722908
Russie,0.722908
"Negroes, U.S.A.",0.568
Hongrie,0.55509
Italie,0.438909
Autriche,0.348545
Ireland,0.251727
France,0.129091
Suéde,0.0645454
