year,description
1789,"In 1789 Olaudah Equiano publishes what many now consider to be the first significant work about an enslaved person’s life. The book is The Interesting Narrative of the Life of Olaudah Equiano; or, Gustavus Vassa, the African, Written by Himself."
1807,Great Britain abolishes the slave trade with its colonies.
1808,The U.S. Congress bans the importation of slaves into the country.
1863,"President Abraham Lincoln on January 1, 1863, declares that the enslaved people in the Southern states are free."
1865,"The Thirteenth Amendment to the U.S. Constitution formally abolishes slavery in 1865. However, many former Confederate states continue to enact laws that keep Blacks subservient to whites."
