populationLookup,populationDescription,hex,sort
20000 - 30000,"BETWEEN 20,000 AND 30,000",#312B64,0
15000 - 20000,"15,000 TO 20,000",#5D3A26,1
10000 - 15000,"10,000 TO 15,000",#BF9C83,2
5000 - 10000,"5,000 TO 10,000",#D22A49,3
2500 - 5000,"2,500 TO 5,000",#DB918D,4
1000 - 2500,"1,000 TO 2,000",#EAB45C,5
> 1000,"UNDER 1,000",#5C6D5F,6
